1001 47978
1 8 32.0
1 33 24.0
1 38 17.0
1 63 22.0
1 76 37.0
1 100 25.0
1 105 39.0
1 120 18.0
1 131 33.0
1 181 30.0
1 221 23.0
1 255 12.0
1 269 30.0
1 278 48.0
1 287 29.0
1 289 53.0
1 307 45.0
1 310 11.0
1 339 45.0
1 340 17.0
1 385 27.0
1 392 0.0
1 430 1.0
1 438 36.0
1 462 30.0
1 470 26.0
1 474 5.0
1 477 44.0
1 494 36.0
1 530 32.0
1 589 9.0
1 628 7.0
1 657 6.0
1 661 18.0
1 664 34.0
1 671 31.0
1 705 35.0
1 711 22.0
1 743 40.0
1 753 32.0
1 766 20.0
1 771 41.0
1 792 47.0
1 806 19.0
1 816 46.0
1 823 45.0
1 828 20.0
1 852 11.0
1 884 27.0
1 891 45.0
1 929 37.0
1 932 8.0
1 946 45.0
1 957 45.0
1 966 44.0
1 995 36.0
2 7 25.0
2 64 41.0
2 68 21.0
2 74 51.0
2 75 57.0
2 92 32.0
2 127 2.0
2 149 36.0
2 154 19.0
2 160 43.0
2 199 44.0
2 252 43.0
2 254 21.0
2 258 46.0
2 277 28.0
2 303 14.0
2 314 25.0
2 329 6.0
2 345 55.0
2 346 11.0
2 354 2.0
2 360 44.0
2 388 25.0
2 441 21.0
2 443 43.0
2 445 17.0
2 451 24.0
2 476 24.0
2 495 54.0
2 501 55.0
2 507 17.0
2 553 17.0
2 599 44.0
2 603 34.0
2 623 32.0
2 632 52.0
2 635 11.0
2 668 14.0
2 697 44.0
2 742 60.0
2 766 36.0
2 778 47.0
2 896 21.0
2 906 60.0
2 927 58.0
2 979 38.0
2 988 38.0
2 991 62.0
2 992 36.0
3 8 47.0
3 15 25.0
3 25 36.0
3 32 21.0
3 41 14.0
3 52 22.0
3 62 1.0
3 65 4.0
3 107 3.0
3 137 33.0
3 141 22.0
3 146 48.0
3 184 9.0
3 192 2.0
3 247 13.0
3 265 26.0
3 279 50.0
3 318 0.0
3 324 35.0
3 330 46.0
3 360 11.0
3 389 43.0
3 395 3.0
3 426 33.0
3 471 49.0
3 479 44.0
3 502 5.0
3 524 21.0
3 526 26.0
3 551 26.0
3 566 49.0
3 570 53.0
3 590 7.0
3 630 8.0
3 662 49.0
3 682 40.0
3 683 55.0
3 714 26.0
3 725 5.0
3 738 41.0
3 745 23.0
3 747 14.0
3 793 40.0
3 813 48.0
3 839 44.0
3 854 42.0
3 883 11.0
3 887 34.0
3 895 62.0
3 900 43.0
3 966 44.0
3 990 22.0
4 15 41.0
4 30 22.0
4 32 12.0
4 35 44.0
4 41 31.0
4 53 14.0
4 85 45.0
4 102 10.0
4 125 22.0
4 133 43.0
4 149 22.0
4 194 0.0
4 215 29.0
4 216 15.0
4 235 13.0
4 237 27.0
4 264 0.0
4 291 10.0
4 292 4.0
4 308 18.0
4 317 36.0
4 328 1.0
4 335 27.0
4 364 23.0
4 394 7.0
4 472 32.0
4 478 45.0
4 483 8.0
4 485 8.0
4 497 6.0
4 532 39.0
4 536 23.0
4 539 55.0
4 552 0.0
4 566 21.0
4 571 28.0
4 600 38.0
4 604 50.0
4 624 49.0
4 636 34.0
4 688 20.0
4 703 8.0
4 724 4.0
4 737 43.0
4 739 45.0
4 743 33.0
4 748 12.0
4 764 29.0
4 798 37.0
4 805 34.0
4 857 7.0
4 884 34.0
4 933 11.0
4 949 34.0
4 964 44.0
4 979 29.0
4 1000 42.0
5 11 36.0
5 64 6.0
5 79 0.0
5 99 28.0
5 115 20.0
5 120 28.0
5 128 22.0
5 137 8.0
5 149 5.0
5 200 49.0
5 204 20.0
5 216 7.0
5 231 21.0
5 233 10.0
5 289 32.0
5 319 32.0
5 322 27.0
5 323 8.0
5 336 21.0
5 402 49.0
5 417 30.0
5 451 3.0
5 456 42.0
5 469 10.0
5 499 34.0
5 508 18.0
5 523 47.0
5 527 24.0
5 554 18.0
5 579 2.0
5 586 27.0
5 626 33.0
5 634 4.0
5 647 48.0
5 710 10.0
5 743 48.0
5 744 3.0
5 747 53.0
5 752 9.0
5 770 41.0
5 789 22.0
5 804 30.0
5 811 19.0
5 824 49.0
5 833 38.0
5 843 41.0
5 893 36.0
5 900 8.0
5 908 37.0
5 933 28.0
5 944 46.0
5 977 36.0
5 980 9.0
5 982 37.0
5 983 28.0
5 991 43.0
6 54 3.0
6 79 19.0
6 81 38.0
6 95 27.0
6 99 47.0
6 106 14.0
6 111 51.0
6 125 37.0
6 158 32.0
6 170 37.0
6 236 42.0
6 237 10.0
6 264 11.0
6 313 14.0
6 315 30.0
6 326 27.0
6 340 52.0
6 352 41.0
6 361 46.0
6 393 0.0
6 397 3.0
6 411 42.0
6 443 51.0
6 447 32.0
6 465 34.0
6 483 0.0
6 510 7.0
6 513 41.0
6 522 4.0
6 544 32.0
6 560 52.0
6 567 13.0
6 575 4.0
6 610 28.0
6 617 18.0
6 630 50.0
6 643 6.0
6 719 18.0
6 744 39.0
6 763 41.0
6 772 51.0
6 793 62.0
6 800 26.0
6 815 49.0
6 832 13.0
6 840 33.0
6 845 20.0
6 865 16.0
6 866 36.0
6 897 4.0
6 908 16.0
6 922 21.0
6 938 35.0
6 943 32.0
6 978 26.0
6 986 12.0
6 995 11.0
6 997 29.0
7 30 15.0
7 33 36.0
7 38 45.0
7 48 25.0
7 59 26.0
7 144 40.0
7 153 45.0
7 173 24.0
7 189 3.0
7 192 42.0
7 196 43.0
7 211 16.0
7 242 35.0
7 244 50.0
7 320 42.0
7 322 15.0
7 362 17.0
7 391 0.0
7 421 28.0
7 499 45.0
7 508 0.0
7 512 37.0
7 528 43.0
7 550 26.0
7 572 40.0
7 593 29.0
7 602 7.0
7 615 37.0
7 618 9.0
7 656 53.0
7 663 35.0
7 666 35.0
7 668 36.0
7 672 12.0
7 685 39.0
7 707 48.0
7 724 25.0
7 760 26.0
7 764 17.0
7 793 13.0
7 800 27.0
7 848 48.0
7 859 26.0
7 882 5.0
7 888 4.0
7 902 4.0
7 905 11.0
7 978 9.0
8 19 30.0
8 27 11.0
8 40 51.0
8 67 19.0
8 78 7.0
8 85 0.0
8 124 17.0
8 134 9.0
8 153 53.0
8 160 55.0
8 176 47.0
8 185 22.0
8 197 22.0
8 221 48.0
8 230 37.0
8 289 21.0
8 301 50.0
8 317 2.0
8 346 50.0
8 357 20.0
8 386 44.0
8 399 21.0
8 414 8.0
8 421 28.0
8 437 17.0
8 444 36.0
8 454 11.0
8 458 24.0
8 460 36.0
8 493 10.0
8 495 31.0
8 500 52.0
8 507 22.0
8 550 32.0
8 564 5.0
8 597 21.0
8 613 37.0
8 632 48.0
8 637 35.0
8 647 13.0
8 664 44.0
8 668 38.0
8 675 44.0
8 689 18.0
8 724 5.0
8 751 54.0
8 791 33.0
8 823 48.0
8 839 55.0
8 878 19.0
8 881 35.0
8 883 56.0
8 892 54.0
8 912 46.0
8 949 19.0
8 975 43.0
8 978 29.0
8 983 17.0
9 38 40.0
9 63 18.0
9 160 42.0
9 169 32.0
9 187 7.0
9 189 14.0
9 191 9.0
9 204 35.0
9 217 2.0
9 218 45.0
9 231 0.0
9 261 15.0
9 267 48.0
9 322 4.0
9 339 12.0
9 342 47.0
9 358 42.0
9 383 26.0
9 384 33.0
9 409 42.0
9 446 5.0
9 452 42.0
9 459 5.0
9 466 36.0
9 479 50.0
9 500 12.0
9 528 3.0
9 540 50.0
9 587 28.0
9 605 32.0
9 622 38.0
9 625 28.0
9 627 28.0
9 636 27.0
9 657 12.0
9 660 17.0
9 676 0.0
9 678 0.0
9 703 2.0
9 712 42.0
9 752 2.0
9 792 7.0
9 807 13.0
9 811 8.0
9 818 50.0
9 827 26.0
9 837 20.0
9 847 15.0
9 861 46.0
9 864 13.0
9 865 15.0
9 870 33.0
9 884 20.0
9 892 19.0
9 893 17.0
9 901 38.0
9 914 11.0
9 921 42.0
10 11 27.0
10 55 51.0
10 65 41.0
10 80 26.0
10 96 39.0
10 106 37.0
10 143 37.0
10 177 2.0
10 180 15.0
10 215 32.0
10 223 48.0
10 252 15.0
10 265 28.0
10 266 25.0
10 267 5.0
10 273 4.0
10 279 28.0
10 281 0.0
10 319 32.0
10 355 38.0
10 356 14.0
10 446 16.0
10 450 41.0
10 454 12.0
10 505 17.0
10 537 51.0
10 585 12.0
10 609 5.0
10 617 57.0
10 638 22.0
10 670 11.0
10 679 10.0
10 693 56.0
10 696 40.0
10 710 45.0
10 723 52.0
10 733 25.0
10 738 13.0
10 788 54.0
10 810 32.0
10 816 58.0
10 820 47.0
10 832 16.0
10 843 9.0
10 845 45.0
10 854 42.0
10 859 21.0
10 863 40.0
10 882 14.0
10 916 39.0
10 934 42.0
10 947 42.0
10 954 53.0
10 962 20.0
10 981 58.0
11 30 19.0
11 81 41.0
11 89 18.0
11 99 50.0
11 106 18.0
11 109 38.0
11 118 54.0
11 121 40.0
11 129 27.0
11 145 46.0
11 146 44.0
11 154 2.0
11 178 32.0
11 190 29.0
11 199 0.0
11 229 38.0
11 261 16.0
11 262 49.0
11 285 27.0
11 298 30.0
11 311 51.0
11 337 46.0
11 351 3.0
11 353 51.0
11 358 48.0
11 403 48.0
11 411 11.0
11 459 34.0
11 464 12.0
11 470 45.0
11 484 9.0
11 485 5.0
11 517 33.0
11 532 12.0
11 601 47.0
11 627 34.0
11 662 18.0
11 750 54.0
11 769 25.0
11 799 49.0
11 869 38.0
11 882 33.0
11 938 55.0
11 946 46.0
11 988 46.0
12 29 35.0
12 100 0.0
12 129 45.0
12 140 25.0
12 171 27.0
12 221 37.0
12 224 5.0
12 254 29.0
12 278 42.0
12 321 23.0
12 365 17.0
12 389 45.0
12 391 40.0
12 442 25.0
12 460 32.0
12 481 43.0
12 487 32.0
12 498 21.0
12 519 48.0
12 531 37.0
12 540 40.0
12 581 17.0
12 584 11.0
12 590 14.0
12 594 41.0
12 652 23.0
12 684 37.0
12 701 38.0
12 704 40.0
12 705 14.0
12 733 41.0
12 765 34.0
12 841 33.0
12 857 12.0
12 887 45.0
12 907 1.0
12 946 50.0
12 967 8.0
12 969 56.0
12 976 10.0
12 991 28.0
13 62 19.0
13 64 11.0
13 86 16.0
13 102 54.0
13 108 12.0
13 120 6.0
13 123 25.0
13 124 38.0
13 130 26.0
13 156 43.0
13 157 50.0
13 210 44.0
13 225 21.0
13 227 27.0
13 234 0.0
13 255 0.0
13 286 25.0
13 370 10.0
13 376 23.0
13 425 49.0
13 500 14.0
13 508 56.0
13 513 32.0
13 522 54.0
13 530 7.0
13 538 32.0
13 553 18.0
13 569 51.0
13 579 43.0
13 623 38.0
13 685 44.0
13 701 30.0
13 711 13.0
13 715 45.0
13 748 8.0
13 796 29.0
13 824 46.0
13 901 31.0
13 904 21.0
13 908 28.0
13 983 56.0
13 989 22.0
14 5 2.0
14 6 40.0
14 41 7.0
14 64 20.0
14 69 27.0
14 114 24.0
14 115 39.0
14 141 42.0
14 157 13.0
14 176 7.0
14 180 39.0
14 192 40.0
14 221 35.0
14 248 0.0
14 315 8.0
14 334 48.0
14 341 0.0
14 409 42.0
14 418 13.0
14 429 19.0
14 430 8.0
14 448 0.0
14 465 16.0
14 499 55.0
14 516 47.0
14 570 32.0
14 586 25.0
14 612 26.0
14 628 46.0
14 629 55.0
14 654 16.0
14 656 23.0
14 667 57.0
14 682 41.0
14 726 10.0
14 727 17.0
